teamName,year,stars
Duke,2020,2
Duke,2021,5.3
Duquesne,2012,2
Duquesne,2013,2
Duquesne,2014,3
Duquesne,2015,2.7
Duquesne,2016,5
Duquesne,2017,14
Duquesne,2019,2
Duquesne,2021,15.3
East Carolina,2013,5.7
East Carolina,2016,5.4
East Carolina,2017,4
East Carolina,2020,2
East Carolina,2021,9
East Central,2020,2
East Central Community College,2014,2
East Central University,2013,4
East Georgia St. College,2013,3
East Los Angeles College,2014,2
East Los Angeles College,2017,5
East Los Angeles College,2018,6.7
East Los Angeles College,2020,2
East Los Angeles College,2021,6
East Mississippi Community College,2012,4
East Mississippi Community College,2013,6.7
East Mississippi Community College,2016,2
East Mississippi Community College,2017,2
East Mississippi Community College,2021,2
East Stroudsburg,2016,2
East Stroudsburg University,2013,2
East Stroudsburg University of Pennsylvania,2014,2
East Texas Baptist University,2017,2
Eastern Florida St. College,2014,7.9
Eastern Florida St. College,2015,2.3
Eastern Florida St. College,2017,4.5
Eastern Florida St. College,2019,2
Eastern Florida St. College,2020,2
Eastern Illinois,2012,3
Eastern Illinois,2013,4.7
Eastern Illinois,2015,2
Eastern Illinois,2019,2
Eastern Illinois,2020,4
Eastern Illinois,2021,8
Eastern Kentucky,2014,5
Eastern Kentucky,2015,2
Eastern Kentucky,2016,4.7
Eastern Kentucky,2018,6
Eastern Kentucky,2019,2.5
Eastern Kentucky,2020,5.3
Eastern Kentucky,2021,10.3
Eastern Michigan,2012,2
Eastern Michigan,2013,2.7
Eastern Michigan,2014,6.3
Eastern Michigan,2015,4.5
Eastern Michigan,2016,9
Eastern Michigan,2018,2
Eastern Michigan,2019,2
Eastern Michigan,2020,7.5
Eastern Michigan,2021,12
Eastern New Mexico,2018,2
Eastern New Mexico,2021,7
Eastern New Mexico University,2013,2
Eastern Oregon University,2013,2
Eastern Oregon University,2014,2
Eastern Oregon University,2015,2
Eastern Oregon University,2017,2
Eastern Oregon University,2021,2
Eastern Washington,2015,8.8
Eastern Washington,2017,4.3
Eastern Washington,2018,2
Eastern Washington,2021,6
Eastern Washington,2022,2
Eastfield College,2015,2
Eckerd,2017,2
Eckerd,2020,2
Edinboro,2016,4
Edinboro,2017,2
Edinboro,2020,2
Edinboro,2021,2
Edmonds Community College,2017,2
Edward Waters College,2018,2
El Camino College Compton Center,2016,4.5
Elizabeth City St.,2018,2
Elizabeth City St.,2019,2
Elizabeth City St.,2020,2
Elizabeth City St.,2021,6
Elizabeth City St. College,2013,2
Elizabeth City St. University,2012,2
Elizabeth City St. University,2013,2
Elmhurst College,2014,2
Elon,2019,5.3
Elon,2020,2
Elon,2021,5.3
Embry-Riddle,2015,5
Embry-Riddle,2018,4
Embry-Riddle,2019,2
Embry-Riddle Aeronautical University (Arizona),2020,2
"Embry-Riddle Aeronautical University, Prescott",2015,2
Emmanuel,2021,2
Emmanuel College,2013,2
Emory University,2012,2
Emporia St.,2015,6
Emporia St.,2017,6.5
Emporia St.,2021,4
Emporia St. University,2013,2
Enderun Colleges,2018,2
Erskine,2017,2
ETSU,2012,2.3
ETSU,2014,5
ETSU,2015,13.4
ETSU,2016,2
ETSU,2017,4
ETSU,2018,2
ETSU,2019,4
ETSU,2020,11
ETSU,2021,5
ETSU,2022,2
Evansville,2013,2.7
Evansville,2014,2
Evansville,2015,2
Evansville,2018,6
Evansville,2019,2
Evansville,2020,5
Everett Community College,2019,2
Fair St. Community College,2013,2.3
Fairfield,2012,2.3
Fairfield,2013,3.7
Fairfield,2015,2
Fairfield,2019,6
Fairfield,2020,4
Fairleigh Dickinson,2012,2
Fairleigh Dickinson,2013,2.5
Fairleigh Dickinson,2014,6
Fairleigh Dickinson,2016,2
Fairleigh Dickinson,2017,2
Fairleigh Dickinson,2019,2
Fairmont St.,2015,4
Fairmont St.,2017,2
Fairmont St.,2018,2
Fairmont St.,2020,4
Fairmont St. University,2012,2.5
Fairmont St. University,2013,6
Fairmont St. University,2014,4
Faulkner University,2016,4
Faulkner University,2020,2
Fayetteville St.,2015,2
Fayetteville St.,2016,4
Fayetteville St.,2017,2
Fayetteville St.,2018,5
Fayetteville St.,2019,4
Fayetteville St.,2020,7
Fayetteville St.,2021,2
Felician,2016,2
Felician,2021,4
Felician College,2012,2
Felician College,2014,2
Ferris St.,2016,5
Ferris St.,2017,3
Ferris St.,2018,2
Ferris St.,2019,2
Ferris St. University,2012,2
Ferris St. University,2013,2
Ferrum College,2021,2
Findlay,2018,2
Fisk University,2017,2
Flagler,2015,2
Flagler,2019,2
Flagler,2020,5
Flagler,2021,4
Flagler College,2012,2
Flagler College,2013,4
Flagler College,2014,2
Florida,2012,8.7
Florida,2013,2.7
Florida,2014,10.7
Florida,2015,3
Florida,2016,5.3
Florida,2017,2.3
Florida,2019,7.7
Florida,2020,3
Florida,2021,10
Florida A&M,2014,4
Florida A&M,2017,4
Florida A&M,2020,2
Florida A&M,2021,6
Florida Atlantic,2012,2
Florida Atlantic,2014,7
Florida Atlantic,2015,4.7
Florida Atlantic,2016,4
Florida Atlantic,2018,6
Florida Atlantic,2019,2
Florida Atlantic,2020,2
Florida Atlantic,2021,6
Florida Gulf Coast,2012,6
Florida Gulf Coast,2013,9.3
Florida Gulf Coast,2014,2.7
Florida Gulf Coast,2015,7.9
Florida Gulf Coast,2016,4.7
Florida Gulf Coast,2017,9
Florida Gulf Coast,2018,8
Florida Gulf Coast,2019,2
Florida Gulf Coast,2020,4
Florida Gulf Coast,2021,14
Florida International,2012,16.3
Florida International,2013,5
Florida International,2014,2
Florida International,2016,2
Florida International,2017,2.5
Florida International,2018,2
Florida International,2019,3.7
Florida International,2020,2
Florida International,2021,11
Florida Memorial University,2016,2
Florida Memorial University,2019,2
Florida Memorial University,2020,6
Florida Memorial University,2021,10
Florida National University,2016,2
Florida National University,2017,2
Florida National University,2020,2
Florida Southern,2015,2
Florida Southern,2016,3
Florida Southern,2017,2
Florida Southern,2019,4
Florida Southern,2020,2
Florida Southern,2021,6
Florida Southern,2022,2
Florida Southern College,2013,2
Florida Southern College,2014,4
Florida SouthWestern St. College,2016,5.7
Florida SouthWestern St. College,2018,4
Florida SouthWestern St. College,2019,4
Florida SouthWestern St. College,2020,4
Florida SouthWestern St. College,2021,5
Florida St.,2018,4
Florida St.,2019,2
Florida St.,2021,6
Florida St. College,2012,4.3
Florida St. College at Jacksonville,2015,2
Florida Tech,2016,2
Florida Tech,2018,2
Florida Tech,2019,2
Florida Tech,2020,2
Fordham,2016,3
Fordham,2017,4
Fordham,2021,12
Fort Hays St.,2016,4
Fort Hays St.,2018,2
Fort Hays St.,2021,2
Fort Hays St. University,2012,2
Fort Hays St. University,2013,2
Fort Hays St. University,2014,4
Fort Lewis,2017,6
Fort Lewis,2018,2
Fort Lewis,2019,4.3
Fort Lewis,2021,2
Fort Lewis College,2013,2
Fort Lewis College,2014,2
Fort Valley St.,2016,2
Fort Valley St.,2017,4
Fort Valley St.,2019,2
Fort Valley St.,2021,2
Fort Valley St. University,2013,2
Francis Marion,2016,3
Francis Marion,2018,2
Francis Marion,2019,2
Francis Marion,2020,4
Francis Marion University,2012,6
Francis Marion University,2013,8
Frank Phillips College,2013,2
Frank Phillips College,2015,2
Franklin & Marshall College,2012,2
Franklin Pierce,2021,2
Freed-Hardeman University,2017,2
Fresno City College,2017,2
Fresno Pacific,2015,4
Fresno Pacific,2017,2
Fresno Pacific,2018,2
Fresno Pacific,2019,2
Fresno Pacific,2020,2
Fresno Pacific,2021,2
Fresno Pacific University,2013,6
Fresno St.,2013,4
Fresno St.,2015,8
Fresno St.,2017,13.7
Fresno St.,2018,2.7
Fresno St.,2019,2
Fresno St.,2020,9.7
Fresno St.,2021,6
Friends University,2018,2
Friends University,2021,2
Fullerton College,2015,6
Fullerton College,2017,2
Fullerton College,2019,4
Fullerton College,2020,2
Full-Time Hoops,2013,2
Furman,2012,2.7
Furman,2013,4
Furman,2014,2.7
Furman,2021,2
Gadsden St. Community College,2020,2
Gannon,2015,4
Gannon,2016,2
Gannon,2019,3
Gannon,2020,2
Gannon,2021,5
Gannon University,2012,2
Gannon University,2013,2
Gannon University,2014,2
Garden City Community College,2014,2
Garden City Community College,2015,2.3
Garden City Community College,2016,4
Garden City Community College,2017,2
Garden City Community College,2020,7
Garden City Community College,2021,2
Gardner-Webb,2012,4
Gardner-Webb,2013,4
Gardner-Webb,2021,2
Garrett College,2013,2
Garrett College,2021,4
GCU,2012,2
GCU,2013,8.6
GCU,2014,6
GCU,2015,10.7
GCU,2016,4.7
GCU,2017,3
GCU,2018,12.7
GCU,2019,13
GCU,2020,6
GCU,2021,15.3
Genesee Community College,2018,2
Genesee Community College,2021,2
George Mason,2013,3.7
George Mason,2017,3.3
George Mason,2021,11
George Washington,2013,6
George Washington,2014,3
George Washington,2015,5.3
George Washington,2016,2
George Washington,2017,10.7
George Washington,2018,4
George Washington,2019,6
George Washington,2020,14
George Washington,2021,14.5
George Washington,2022,2
Georgetown,2013,4.3
Georgetown,2016,2
Georgetown,2017,4
Georgetown,2018,2
Georgetown,2019,2
Georgetown,2020,6.7
Georgetown,2021,4
Georgetown College,2012,4
Georgetown College,2013,4
Georgetown College,2014,9.3
Georgetown College,2015,7
Georgetown College,2017,4
Georgetown College,2018,9.3
Georgetown College,2019,4
Georgetown College,2020,6
Georgetown College,2021,6
Georgia,2016,2
Georgia,2019,2
Georgia,2020,6
Georgia,2021,12
Georgia College,2016,2
Georgia College,2019,2
Georgia Highlands College,2014,4
Georgia Highlands College,2016,8
Georgia Highlands College,2017,4
Georgia Highlands College,2018,8
Georgia Highlands College,2020,5
Georgia Highlands College,2021,4
Georgia Perimeter College,2013,2
Georgia Southern,2012,2
Georgia Southern,2013,2.3
Georgia Southern,2015,4
Georgia Southern,2016,2
Georgia Southern,2017,2
Georgia Southern,2019,2
Georgia Southern,2020,15
Georgia Southern,2021,2
Georgia Southwestern,2015,12
Georgia Southwestern,2016,2
Georgia Southwestern,2017,4
Georgia Southwestern,2018,4
Georgia Southwestern,2019,2
Georgia Southwestern,2020,2
Georgia Southwestern,2021,2
Georgia Southwestern St. University,2013,2
Georgia Southwestern St. University,2014,6
Georgia St.,2012,2
Georgia St.,2013,4.7
Georgia St.,2014,10
Georgia St.,2015,6.3
Georgia St.,2016,5.7
Georgia St.,2017,7.3
Georgia St.,2018,5.7
Georgia St.,2019,4
Georgia St.,2020,4
Georgia St.,2021,4
Georgia Tech,2013,6
Georgia Tech,2014,13
Georgia Tech,2015,4.3
Georgia Tech,2016,4.7
Georgia Tech,2017,4
Georgia Tech,2018,4
Georgia Tech,2019,5.3
Georgia Tech,2020,6
Georgia Tech,2021,4
Georgian Court,2017,2
Georgian Court,2021,2
Georgian Court University,2013,4
Glendale Junior College,2012,2
Glenville St.,2015,6
Glenville St.,2018,2
Glenville St.,2019,2
Glenville St.,2020,2
Glenville St. College,2014,4
Goldey-Beacom,2016,2
Goldey-Beacom,2017,10
Goldey-Beacom,2018,2
Goldey-Beacom,2019,2
Goldey-Beacom College,2013,4
Goldey-Beacom College,2014,2
Gonzaga,2012,6
Gonzaga,2013,8
Gonzaga,2014,5
Gonzaga,2015,10.3
Gonzaga,2016,3.3
Gonzaga,2017,2
Gonzaga,2018,2
Gonzaga,2019,6
Gonzaga,2020,6
Gonzaga,2021,3.5
Gordon St. College,2012,2
Gordon St. College,2015,2
Gordon St. College,2017,4
Gordon St. College,2018,2
Gordon St. College,2019,2
Goshen College,2017,2
Grace College,2013,2
Graceland University,2020,2
Grambling St.,2012,2
Grambling St.,2013,4
Grambling St.,2016,3
Grambling St.,2017,2
Grambling St.,2018,2
Grambling St.,2019,2
Grambling St.,2020,4
Grambling St.,2021,16.8
Grand Valley St.,2017,4
Grand Valley St.,2018,6
Grand Valley St.,2019,9.6
Grand Valley St.,2020,2
Grand Valley St.,2021,4
Grand Valley St. University,2012,2
Grand View University,2018,5
Grayson College,2018,8
Grayson College,2019,4
Grayson College,2020,2
Green Bay,2012,2
Green Bay,2013,2.3
Green Bay,2015,4
Green Bay,2017,7
Green Bay,2019,2
Green Bay,2020,4
Green Bay,2021,6
Guilford College,2012,2
Guilford College,2014,2
Gulf Coast St. College,2016,2
Gulf Coast St. College,2017,6
Gulf Coast St. College,2019,2
Gulf Coast St. College,2020,2
Gulf Coast St. College,2021,8
Gwynedd Mercy University,2015,2
Hampden-Sydney College,2014,2
Hampden-Sydney College,2016,2
Hampden-Sydney College,2019,2
Hampton,2012,2
Hampton,2013,2
Hampton,2014,4.3
Hampton,2016,9.7
Hampton,2017,2.3
Hampton,2020,10.8
Hampton,2021,6
Harcum College,2014,7.7
Harcum College,2016,6
Harcum College,2017,2
Harcum College,2019,2
Harcum College,2022,2
Harding,2016,2
Harding,2018,2
Harding,2019,2
Harding,2021,3
Harding University,2012,2
Harding University,2013,4
Hardin-Simmons University,2021,2
Harford Community College,2016,2
Harris-Stowe St. University,2017,4
Hartford,2012,2
Hartford,2013,2
Hartford,2014,6
Hartford,2015,2
Hartford,2018,2
Hartford,2019,11
Hartford,2020,2
Hartford,2021,6
Hartford,2022,2
Hastings College,2018,2
Hastings College,2019,2
Hawaii,2012,2.5
Hawaii,2013,2.7
Hawaii,2014,3
Hawaii,2015,4.3
Hawaii,2016,3
Hawaii,2020,6
Hawaii,2021,8.7
Hawaii Pacific,2015,4
Hawaii Pacific,2016,2
Hawaii Pacific,2017,7.3
Hawaii Pacific,2018,2
Hawaii Pacific,2019,2
Hawaii Pacific,2021,4
Hawaii Pacific University,2014,2.3
Hawaii-Hilo,2016,2
Hawaii-Hilo,2018,2
Hawaii-Hilo,2019,2
Hawaii-Hilo,2021,2
Hawai'l Pacific University,2012,4
Hawai'l Pacific University,2013,2
Henderson St.,2015,6
Henderson St.,2016,4.3
Henderson St.,2017,2
Henderson St.,2018,4
Henderson St.,2020,4
Henderson St.,2021,6
Henderson St. University,2013,2
Henderson St. University,2014,4
Henry Ford College,2021,5
Hesston College,2016,2
High Point,2012,4
High Point,2013,2.7
High Point,2016,6
High Point,2017,3.5
High Point,2020,2
High Point,2021,3
Highland Community College,2012,2
Highland Community College,2018,2
Highland Community College,2019,2
Highland Community College,2021,4
Highline Community College,2012,2
Highline Community College,2014,2
Hill College,2014,2
Hill College,2015,2
Hill College,2016,2
Hill College,2017,2
Hill College,2020,2
Hill College,2021,2
Hillsborough Community College,2016,2
Hillsborough Community College,2018,2
Hillsdale,2015,2
Hillsdale,2016,2
Hillsdale College,2012,2
Hillsdale College,2013,2
Hinds Community College,2016,2
Hinds Community College,2019,3.3
Hinds Community College,2021,6
Hofstra,2012,2
Hofstra,2013,10.3
Hofstra,2014,2
Hofstra,2015,4
Hofstra,2017,4
Hofstra,2018,7
Hofstra,2019,2
Hofstra,2021,12.5
Holmes Community College,2014,3
Holmes Community College,2015,2
Holy Cross,2020,2
Holy Cross,2021,2
Holy Family,2018,2
Holy Family,2019,2
Holy Family University,2013,2
Holy Family University,2014,2
Holy Names,2015,2
Holy Names,2021,2
Hope College,2020,2
Hope International University,2016,2
Hope International University,2018,2
Hope International University,2019,2
Hope International University,2020,2
Houston,2013,6
Houston,2014,4
Houston,2015,3
Houston,2017,9
Houston,2018,5
Houston,2019,6.7
Houston,2020,4
Houston,2021,9.5
Houston Baptist,2013,2
Houston Baptist,2014,2.3
Houston Baptist,2015,2
Houston Baptist,2016,2
Houston Baptist,2017,2
Houston Baptist,2018,2
Houston Baptist,2021,4
Howard,2012,2.3
Howard,2017,3
Howard,2020,8
Howard,2021,6
Howard College,2012,2.3
Howard College,2013,2
Howard College,2014,2.5
Howard College,2015,4
Howard College,2016,9
Howard College,2017,4
Howard College,2018,2
Howard College,2019,8
Howard College,2021,2
Humboldt St.,2012,2
Humboldt St.,2016,2
Humboldt St.,2019,7.5
Humboldt St.,2020,4
Humboldt St.,2021,6
Humboldt St. University,2012,2
Humboldt St. University,2013,2
Humboldt St. University,2014,2
Huntington University,2015,2
Huntington University,2019,2
Huntington University,2020,2
Huston-Tillotson University,2015,2
Hutchinson Community College,2012,2.3
Hutchinson Community College,2015,2
Hutchinson Community College,2016,2
Hutchinson Community College,2017,2
Hutchinson Community College,2018,2
Hutchinson Community College,2020,2
Hutchinson Community College,2021,4
Idaho,2012,2
Idaho,2013,2
Idaho,2014,2
Idaho,2015,2
Idaho,2018,3
Idaho,2019,6
Idaho,2021,10
Idaho St.,2016,2
Idaho St.,2017,2.3
Idaho St.,2019,2
Idaho St.,2021,2
Illinois,2012,4.3
Illinois,2013,9.7
Illinois,2014,2
Illinois,2015,4.3
Illinois,2016,2
Illinois,2017,4
Illinois,2018,2.7
Illinois,2019,2
Illinois,2021,6
Illinois,2022,4
Illinois St.,2014,2.7
Illinois St.,2015,2
Illinois St.,2016,4.7
Illinois St.,2017,5
Illinois St.,2018,10
Illinois St.,2019,4
Illinois St.,2020,2
Illinois St.,2021,7
Illinois Wesleyan University,2013,5.3
Illinois Wesleyan University,2019,2
Incarnate Word,2012,2
Incarnate Word,2013,2
Incarnate Word,2014,2
Incarnate Word,2021,6
Independence Community College,2013,2
Independence Community College,2014,2
Independence Community College,2017,3
Independence Community College,2019,4
Independence Community College,2020,2
Indian Hills Community College,2012,3
Indian Hills Community College,2013,4
Indian Hills Community College,2014,6
Indian Hills Community College,2015,9.7
Indian Hills Community College,2016,18.5
Indian Hills Community College,2017,11
Indian Hills Community College,2018,8
Indian Hills Community College,2019,10
Indian Hills Community College,2020,7
Indian Hills Community College,2021,14
Indian River St. College,2016,4
Indian River St. College,2017,6
Indian River St. College,2018,4
Indian River St. College,2021,2
Indiana,2012,4
Indiana,2013,2.5
Indiana,2014,2
Indiana,2015,6
Indiana,2018,2.7
Indiana,2019,4
Indiana,2021,14.5
Indiana (PA),2015,4
Indiana (PA),2016,2
Indiana (PA),2017,2
Indiana (PA),2018,2
Indiana (PA),2019,8
Indiana Institute of Technology,2014,2
Indiana Institute of Technology,2017,2
Indiana Institute of Technology,2021,2
Indiana St.,2014,2
Indiana St.,2017,2
Indiana St.,2018,8.6
Indiana St.,2020,4
Indiana St.,2021,8
Indiana University East,2017,2
Indiana University of Pennsylvania,2013,2.3
Indiana University of Pennsylvania,2014,2
Indiana University Southeast,2016,2
Indiana University Southeast,2017,2
Indiana University-Pennsylvania,2012,4
Indiana Wesleyan University,2013,2
Indiana Wesleyan University,2014,2
Indiana Wesleyan University,2015,2.3
Indiana Wesleyan University,2016,2.5
Indiana Wesleyan University,2017,4
Indiana Wesleyan University,2019,2
Indiana Wesleyan University,2020,2
Indianapolis,2015,8.3
Indianapolis,2016,8
Indianapolis,2017,2
Indianapolis,2018,4
Indianapolis,2019,4
Indianapolis,2020,4
Indianapolis,2021,4
Iona,2012,5.3
Iona,2013,6.7
Iona,2014,4
Iona,2015,7
Iona,2016,8.3
Iona,2017,8
Iona,2018,8.7
Iona,2019,5.7
Iona,2020,3
Iona,2021,9.7
Iowa,2012,3.3
Iowa,2019,3
Iowa,2021,2
Iowa Lakes Community College,2017,2
Iowa St.,2012,6
Iowa St.,2013,5.7
Iowa St.,2014,6.7
Iowa St.,2015,7
Iowa St.,2016,7
Iowa St.,2017,11
Iowa St.,2018,2.7
Iowa St.,2019,5.5
Iowa St.,2020,12
Iowa St.,2021,15
Iowa St.,2022,2
Iowa Wesleyan University,2016,4
Iowa Western Community College,2012,4
Iowa Western Community College,2013,2
Iowa Western Community College,2014,4
Iowa Western Community College,2015,4
Iowa Western Community College,2016,8.5
Iowa Western Community College,2017,2
Iowa Western Community College,2018,5
Iowa Western Community College,2019,12
Iowa Western Community College,2020,3
Iowa Western Community College,2021,5
Irvine Valley College,2015,2
Irvine Valley College,2017,2
Itawamba Community College,2013,2.5
Itawamba Community College,2016,2
Itawamba Community College,2021,2
Ithaca College,2020,2
IUPUI,2012,4
IUPUI,2013,6
IUPUI,2014,10.7
IUPUI,2015,3.3
IUPUI,2016,4.3
IUPUI,2017,7.3
IUPUI,2018,6.3
IUPUI,2019,5
IUPUI,2021,5
Jackson St.,2012,6.5
Jackson St.,2013,2
Jackson St.,2014,6
Jackson St.,2015,2
Jackson St.,2016,4
Jackson St.,2018,4
Jackson St.,2019,8
Jackson St.,2020,14
Jackson St.,2021,12
Jacksonville,2012,2.3
Jacksonville,2013,3.7
Jacksonville,2015,2
Jacksonville,2016,2
Jacksonville,2017,5
Jacksonville,2019,6
Jacksonville,2020,2
Jacksonville,2021,17.5
Jacksonville College,2012,4
Jacksonville College,2017,2
Jacksonville College,2018,4
Jacksonville College,2021,2
Jacksonville St.,2012,2
Jacksonville St.,2013,2
Jacksonville St.,2015,6
Jacksonville St.,2017,7.7
Jacksonville St.,2019,4
Jacksonville St.,2020,9
Jacksonville St.,2021,4
James Madison,2014,2
James Madison,2015,2
James Madison,2016,4
James Madison,2017,2
James Madison,2020,11.5
James Madison,2021,8
Jamestown College,2012,2
Jamestown Community College,2016,2
Jarvis Christian College,2014,2
Jarvis Christian College,2015,2
Jefferson,2015,2
Jefferson,2016,5.7
Jefferson,2017,5
Jefferson,2019,2
Jefferson,2020,2
Jefferson,2021,3
John A. Logan College,2012,2
John A. Logan College,2013,2
John A. Logan College,2014,2.5
John A. Logan College,2015,4
John A. Logan College,2016,5
John A. Logan College,2017,2
John A. Logan College,2019,5.3
John A. Logan College,2020,5
John A. Logan College,2021,9
John Brown University,2015,4
John Jay College of Criminal Justice,2019,2
Johns Hopkins University,2020,2
Johnson C. Smith,2018,2
Johnson C. Smith,2020,2
Jones College,2021,2
Jones County Community College,2012,2
Jones County Community College,2013,2
Jones County Junior College,2015,2.7
Jones County Junior College,2018,8
Jones County Junior College,2020,3
Kalamazoo College,2018,2
Kankakee Community College,2012,2
Kansas,2013,8
Kansas,2015,3
Kansas,2016,7
Kansas,2017,16.3
Kansas,2019,3.5
Kansas,2021,12.7
Kansas City,2013,4
Kansas City,2014,2.3
Kansas City,2016,2
Kansas City,2017,4
Kansas City,2019,8.5
Kansas City,2020,2
Kansas City,2021,6.5
Kansas City Kansas Community College,2014,2
Kansas City Kansas Community College,2017,2
Kansas St.,2013,5
Kansas St.,2017,5
Kansas St.,2020,2
Kansas St.,2021,12.5
Kansas Wesleyan College,2018,2
Kansas Wesleyan University,2017,2
Kaskaskia College,2014,6.5
Kaskaskia College,2015,2
Kaskaskia College,2021,2
Keiser University,2017,4
Keiser University,2019,4
Keiser University,2021,4
Kennesaw St.,2012,6.3
Kennesaw St.,2013,2.5
Kennesaw St.,2014,5.3
Kennesaw St.,2015,2
Kennesaw St.,2016,2
Kennesaw St.,2018,5
Kennesaw St.,2019,6
Kennesaw St.,2020,2
Kennesaw St.,2021,7
Kent St.,2012,2
Kent St.,2013,2
Kent St.,2014,4
Kent St.,2015,4
Kent St.,2016,4
Kent St.,2017,9
Kent St.,2018,2
Kent St.,2019,5
Kent St.,2020,2.7
Kent St.,2021,9
Kentucky,2012,3
Kentucky,2018,4.3
Kentucky,2019,2
Kentucky,2020,8.5
Kentucky,2021,12
Kentucky Christian University,2020,2
Kentucky St.,2015,2
Kentucky St.,2018,2
Kentucky St.,2019,6
Kentucky St.,2020,2
Kentucky Wesleyan,2015,9
Kentucky Wesleyan,2016,8.5
Kentucky Wesleyan,2017,6
Kentucky Wesleyan,2018,4
Kentucky Wesleyan,2019,6
Kentucky Wesleyan,2020,4
Kentucky Wesleyan,2021,4
Kentucky Wesleyan College,2012,2
Kentucky Wesleyan College,2013,5
Kentucky Wesleyan College,2014,11.6
Kilgore College,2014,2
Kilgore College,2015,2
Kilgore College,2018,4
Kilgore College,2019,2
Kilgore College,2020,2
Kilgore College,2021,2
Kilgore Junior College,2012,2
Kilgore Junior College,2013,2
King,2015,2.5
King University,2013,2
King University,2014,2
Kirkwood Community College,2013,2
Kirkwood Community College,2015,4
Kirkwood Community College,2019,2
Kirkwood Community College,2020,2
Kutztown,2015,2
Kutztown University of Pennsylvania,2014,2
La Salle,2012,4
La Salle,2013,6.7
La Salle,2015,11.4
La Salle,2016,4
La Salle,2017,4
La Salle,2018,9
La Salle,2019,10
La Salle,2021,7
La Salle,2022,2
Labette Community College,2020,4
Lackawanna College,2018,2
Lafayette,2020,2
Lake Forest College,2013,2
Lake Land College,2013,2
Lake Land College,2018,2
Lake Region St. College,2018,2
Lake Superior St.,2015,2
Lake Superior St.,2017,2
Lake Superior St. University,2012,2
Lakehead University,2018,4
Lakehead University,2020,4
Lakeland Community College,2012,2
Lamar,2016,2
Lamar,2017,11
Lamar,2019,3
Lamar,2021,8.7
Lamar Community College,2017,2
Lamar St. College-Port Arthur,2015,2
Lamar St. College-Port Arthur,2015,2
Lamar St. College-Port Arthur,2018,2
Lamar St. College-Port Arthur,2021,6
Lamar St.-Port Arthur,2012,2.5
Lander,2015,2
Lander,2020,2
Lander,2021,2
Lander University,2012,4
Lander University,2013,2
Lane,2019,2
Lane,2021,2
Lane Community College,2018,4
Lane Community College,2021,2
Langston University,2014,2.3
Langston University,2017,8
Lansing Community College,2021,3
Laramie County Community College,2013,2
Laramie County Community College,2020,2
Las Positas College,2016,2
Las Positas College,2017,2
Laval University,2016,2
Lawrence University,2019,2
Lawson St. Community College,2012,2
Lawson St. Community College,2015,8
Lawson St. Community College,2016,2
Lawson St. Community College,2018,2
Lawson St. Community College,2021,4
Le Moyne,2016,2
Le Moyne,2017,2
Le Moyne,2018,2
Le Moyne,2019,4
Le Moyne,2020,2
Le Moyne,2021,4
Lee,2015,4
Lee,2016,2.5
Lee,2017,4
Lee College,2013,6.3
Lee College,2014,5.5
Lee College,2016,2
Lee College,2017,2
Lee College,2018,3
Lee Community College,2012,2.3
Lee University,2012,4
Lees-McRae,2015,2
Lees-McRae,2017,2
Lees-McRae,2018,2
Lees-McRae,2020,2
Lehigh,2013,4
Lehigh,2016,3
LeMoyne College,2012,2
LeMoyne-Owen,2018,2
LeMoyne-Owen College,2013,2
Lenior-Rhyne University,2013,2
Lenoir-Rhyne,2015,2
Lenoir-Rhyne,2016,2
Lenoir-Rhyne,2018,2.5
Lenoir-Rhyne,2021,2
Lenoir-Rhyne University,2014,2
LeTourneau University,2015,2
Lewis,2015,2
Lewis,2020,6
Lewis,2021,4
Lewis & Clark College,2019,2
Lewis-Clark St. College,2014,2
Lewis-Clark St. College,2015,2
Lewis-Clark St. College,2016,2
Lewis-Clark St. College,2017,2
Liberty,2014,5.7
Liberty,2015,5.3
Liberty,2016,4
Liberty,2017,2
Liberty,2020,2
Liberty,2021,2
Life Pacific University,2021,2
Life University,2012,2.5
Life University,2015,2
Life University,2016,2
Life University,2017,7
Life University,2018,8
Life University,2019,6
Life University,2020,5
Life University,2021,2
Limestone,2015,4
Limestone,2019,2
Limestone,2020,6
Limestone,2021,2
Limestone College,2014,2
Lincoln (MO),2015,2
Lincoln (MO),2017,2
Lincoln (MO),2019,6
Lincoln (MO),2021,3
Lincoln (PA),2016,2.3
Lincoln (PA),2017,2
Lincoln (PA),2021,2
Lincoln College,2017,2
Lincoln College,2018,2
Lincoln College,2020,2
Lincoln College,2021,2
Lincoln Memorial,2016,3.3
Lincoln Memorial,2019,2
Lincoln Memorial,2021,2
Lincoln Trail College,2013,2.3
Lincoln Trail College,2014,2
Lincoln Trail College,2017,2
Lincoln Trail College,2020,2
Lincoln Trail College,2021,2
Lincoln University,2014,2
Lindenwood,2015,6
Lindenwood,2016,2
Lindenwood,2019,2
Lindenwood,2020,5
Lindenwood,2021,4
Lindenwood University,2013,2
Lindenwood University,2014,6
Lindenwood University - Belleville,2014,2
Lindenwood University - Belleville,2015,4
Lindenwood University-Belleville,2015,2
Lindenwood University-Belleville,2016,6
Lindsey Wilson College,2012,4
Lindsey Wilson College,2014,2
Lindsey Wilson College,2018,4
Lindsey Wilson College,2019,2
Lindsey Wilson College,2020,4
Lindsey Wilson College,2021,2
